"agency_name","address","city","email","phone_number","website"
"SocialNatives GmbH","Babelsberger Str. 16","Potsdam","","0177 8 93 87 80","https://socialnatives.de/berlin/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing&utm_term=berlin"
"Sonja Bauer Online-Marketing","Steinheilstr. 1","Ingolstadt","","0174 3 94 76 91","http://www.psychologische-beratung-ingolstadt.de"
"Stefan Stankowic - Recruiting","Römerweg 15a, (Ittling)","Straubing","","09421 8 61 50 01","http://www.agile-rpo.com"
"Stephan Niemann Vermittlung von Personal","Veronikastr. 14, (Rüttenscheid)","Essen","","0172 8 30 77 63","http://www.betreuungswelt-niemann.de"
"Susanne Philipp Modelagentur 99 Fahrenheit","Torellstr. 7, (Friedrichshain)","Berlin","","030 91 51 30 09","http://www.99-grad.com"
"Sven Gerling - Arbeitnehmerüberlassung-","Prierosser Str. 3, (Rudow)","Berlin","","030 6 64 39 42",""
"Sven Linnenbrügger Personal- und Organisationsentwicklung","Zum Grünen Weg 9, (Liblar)","Erftstadt","","0172 2 46 42 44","http://www.salsandsoul.de"
"The Freelancer Crew","Bestenseer Straße 6","Mittenwalde","","0160 5 97 90 00","https://the-freelancer-crew.de"
"Torsten Lehmann Dienstleistungs- und Vermittlungsservice DVE","Ahornzeile 1, (Eiche)","Ahrensfelde","","030 99 27 57 90","http://www.dve-lehmann.de"
"Vanessa Mienik - DieHandwerksvermittlung","Springerweg 17, (Kierspe Bahnhof)","Kierspe","","0151 15 38 58 38","http://www.diehandwerksvermittlung.com"
"Volker Müller und Bettina Müller-Huis Personalvermittlung","Hörbachstr. 52, (Dahlbruch)","Hilchenbach","","02733 81 14 62","http://conectare-consulting.de"
"Weißer Engel - Häusliche Krankenpflege GmbH","Am Gutshof 32, (Suttrop)","Warstein","","02902 5 94 74","http://www.haeuslichepflege-weisserengel.com"
"Wilhelm Personalleasing u. Personalvermittlung","Pödeldorfer Str. 37","Bamberg","","0951 5 19 37-30",""
"ADS - Dienstleistungs GmbH Personalvermittlung","Carl-Still-Str. 17","Recklinghausen","","02361 4 04 54 19",""
"Aydogmus Özlem Personalvermittlung","An der Dellbrügge 3, (Stadtmitte)","Recklinghausen","","02361 8 48 28 71",""
"Delphi Personal Personalvermittlung","Bahnhofstr. 18","Neustadt (Dosse)","","033970 96 91 50",""
"Geusen, Axel - IntoWork Personalvermittlung","Karolingerstr. 96, (Nordviertel)","Essen","","0176 63 72 96 90",""
"PAV-NRW GmbH & Co. KG Personalvermittlung","Hölscherstr. 4, (Buer)","Gelsenkirchen","","0209 15 75 45-10","http://www.pav-nrw.de"
"veto-personal GmbH Personalvermittlung","Auf der Galgenstatt 5","Soest","","02921 3 50 98 30","http://www.veto-personal.de"
"afz - Personalvermittlung und Service GmbH","Gartenstr. 1, (Nordöstlicher Stadtteil)","Schweinfurt","","09721 72 21 60",""
"Tatenwerk Frankfurt GmbH - the smart way of working Personalvermittlung","Hanauer Landstr. 175-179, (Ostend)","Frankfurt am Main","","069 8 70 00 97-0",""
"BUTLER BUREAU Agentur für Personalvermittlung","Neuer Wall 80, (Neustadt)","Hamburg","","040 46 89 93 76",""
